Dir
reflvl iters rel_error time
2	19	6.774e-01	0.622872
3	22	6.076e-01	0.591307
4	26	4.476e-01	0.673182
5	34	2.649e-01	1.048067
6	42	1.533e-01	3.443575
7	49	1.132e-01	27.906166
8	56	6.495e-02	234.182256
9	62	5.247e-02	3527.757317


Neu
reflvl iters rel_error time
2	16	4.008e-01	0.605142
3	21	3.138e-01	0.629866
4	25	1.601e-01	0.808091
5	38	8.635e-02	1.999836
6	47	4.020e-02	9.321789
7	62	2.102e-02	79.464888
8	75	9.605e-03	761.637307
9	94	5.005e-03	9960.497538


