threadcount V K A D
01	158.649 236.95 288.408 679.654 
02	79.3727 119.975 143.754 357.956 
03	53.2935 80.9829 96.8422 234.258 
04	39.9673 60.4968 72.1965 175.462 
06	26.5381 40.1903 48.061 116.879 
08	19.9095 30.2204 36.4183 88.6983 
10	15.9866 24.3132 28.9543 70.496 
12	13.288 20.1422 24.2405 58.5483 
15	10.6306 16.1933 19.4548 46.9497 
18	8.92253 13.5272 16.5303 39.4107 
24	6.69275 10.2147 12.5583 29.2866 
30	5.36633 8.15089 9.81606 23.7081 
36	4.48495 6.94237 8.19519 19.862 
