V reflvl2
iter cpuelem timecpu timegpu timetotal
1	24	0.000887	0.000322	0.0213661	
2	0	0.000322	0.000249	0.000500457	
3	0	0.000314	0.000237	0.000463864	
4	0	0.000328	0.000238	0.000477596	
5	0	0.000307	0.000226	0.000453131	
6	0	0.000313	0.000230	0.000467039	
7	0	0.000325	0.000234	0.000471201	
8	0	0.000312	0.000238	0.00046245	
9	0	0.000321	0.000225	0.000465374	
10	0	0.000315	0.000231	0.000470384	
11	0	0.000311	0.000234	0.000457607	
12	0	0.000322	0.000237	0.000469034	
13	0	0.000314	0.000226	0.000460319	
14	0	0.000326	0.000231	0.000477259	
15	0	0.000312	0.000238	0.000461426	
16	0	0.000313	0.000239	0.000471416	
17	0	0.000325	0.000226	0.00046914	
18	0	0.000313	0.000233	0.000463427	
19	0	0.000327	0.000236	0.000475893	
20	0	0.000311	0.000238	0.000458568	


V reflvl3
iter cpuelem timecpu timegpu timetotal
1	24	0.002066	0.000773	0.00476454	
2	0	0.000846	0.000722	0.00106252	
3	0	0.000888	0.000713	0.00107673	
4	0	0.000882	0.000710	0.00106733	
5	0	0.000890	0.000710	0.00107591	
6	0	0.000869	0.000708	0.00105272	
7	0	0.000864	0.000716	0.00105402	
8	0	0.000872	0.000707	0.00105241	
9	0	0.000885	0.000708	0.00106662	
10	0	0.000919	0.000709	0.00110419	
11	0	0.000888	0.000716	0.00107791	
12	0	0.000859	0.000706	0.00105774	
13	0	0.000870	0.000708	0.00105271	
14	0	0.000875	0.000708	0.00105722	
15	0	0.000874	0.000710	0.00105619	
16	0	0.000874	0.000706	0.0010523	
17	0	0.000885	0.000708	0.0010753	
18	0	0.000870	0.000706	0.00104994	
19	0	0.000881	0.000708	0.00106362	
20	0	0.000870	0.000708	0.00105046	


V reflvl4
iter cpuelem timecpu timegpu timetotal
1	24	0.004763	0.002554	0.00794166	
2	0	0.002822	0.002534	0.00311269	
3	0	0.002768	0.002521	0.00304106	
4	0	0.002782	0.002504	0.00304379	
5	0	0.002785	0.002520	0.00304471	
6	0	0.002783	0.002509	0.00304364	
7	0	0.002800	0.002512	0.0030589	
8	0	0.002764	0.002510	0.00303054	
